11,11
22,11
23,1
32,9
38,6
39,1
47,8
48,1
61,13
64,3
77,13
78,1
86,8
87,1
89,2
96,7
98,2
116,18
118,2
121,3
125,4
126,1
127,1
130,3
131,1
144,13
145,1
146,1
149,3
150,1
151,1
155,4
156,1
157,1
165,8
167,2
168,1
179,11
197,18
203,6
215,12
225,10
257,32
268,11
271,3
273,2
280,7
285,5
294,9
301,7
302,1
339,37
341,2
342,1
345,3
350,5
351,1
360,9
365,5
366,1
380,14
383,3
384,1
392,8
393,1
398,5
417,19
418,1
441,23
442,1
461,19
481,20
482,1
483,1
486,3
487,1
511,24
524,13
539,15
541,2
555,14
560,5
561,1
587,26
589,2
590,1
591,1
597,6
604,7
606,2
607,1
608,1
609,1
620,11
623,3
624,1
659,35
660,1
674,14
691,17
692,1
713,21
724,11
735,11
749,14
750,1
764,14
766,2
767,1
768,1
769,1
776,7
790,14
804,14
805,1
811,6
817,6
824,7
859,35
860,1
864,4
889,25
899,10
901,2
902,1
919,17
920,1
921,1
942,21
956,14
957,1
965,8
968,3
969,1
974,5
981,7
994,13
995,1
1002,7
1003,1
1013,10
1019,6
1021,2
1024,3
1033,9
1048,15
1049,1
1063,14
1066,3
1067,1
1068,1
1069,1
1071,2
1072,1
1073,1
1078,5
1123,45
1125,2
1137,12
1146,9
1153,7
1154,1
1160,6
1162,2
1163,1
1164,1
1166,2
1167,1
1191,24
1193,2
1194,1
1197,3
1224,27
1227,3
1242,15
1252,10
1266,14
1270,4
1271,1
1272,1
1273,1
1277,4
1278,1
1289,11
1296,7
1313,17
1332,19
1334,2
1337,3
1339,2
1349,10
1350,1
1351,1
1355,4
1358,3
1373,15
1377,4
1378,1
1388,10
1389,1
1399,10
1414,15
1416,2
1432,16
1439,7
1449,10
1458,9
1467,9
1488,21
1489,1
1497,8
1500,3
1505,5
1513,8
1514,1
1538,24
1540,2
1541,1
1545,4
1546,1
1553,7
1554,1
1589,35
1598,9
1599,1
1641,42
1642,1
1690,48
1701,11
1702,1
1706,4
1710,4
1711,1
1718,7
1719,1
1802,83
1807,5
1816,9
1817,1
1840,23
1850,10
1862,12
1863,1
1872,9
1911,39
1914,3
1925,11
1937,12
1966,29
2010,44
2011,1
2036,25
2037,1
2085,48
2188,103
2215,27
2226,11
2227,1
2229,2
2230,1
2268,38
2271,3
2272,1
2273,1
2278,5
2358,80
2382,24
2385,3
2434,49
2443,9
2444,1
2570,126
2595,25
2606,11
2607,1
2615,8
2618,3
2623,5
2624,1
2647,23
2675,28
2676,1
2677,1
2680,3
2682,2
